"","ID_3447772","ID_208570","ID_382069","ID_283867","ID_915065","ID_2625724","ID_515054","ID_3357219","ID_625159","ID_2794732","ID_245276","ID_562076","ID_268677","ID_3337097","ID_827560","ID_596277","ID_3122828","ID_146056","ID_1157415","ID_209362","ID_1945247","ID_98717","ID_2736291","ID_935308","ID_609467","ID_497954","ID_3690635","ID_322850","ID_725732","ID_254849","ID_55635","ID_842460","ID_1002430","ID_3402913","ID_657365","ID_163857","ID_1001152","ID_2877840","ID_2360904","ID_711472","ID_867632","ID_996260","ID_837037","ID_2396592","ID_3547896","ID_567905","ID_3049729","ID_722227","ID_2496081","ID_815754","ID_3394380","ID_299868","ID_71859","ID_595869","ID_186856","ID_651121","ID_2942823","ID_218261","ID_4184186","ID_853251","ID_2297998","ID_956750","ID_1493319","ID_365745","ID_536527","ID_283438","ID_197478","ID_285759","ID_3109146","ID_3146150","ID_3561771","ID_3488980","ID_578237","ID_2694681","ID_2857794","ID_3546862","ID_3482045","ID_3468450","ID_518877","ID_897170","ID_3487947","ID_364270","ID_70218","ID_536059","ID_3832127","ID_664653","ID_524766","ID_2785477","ID_790534","ID_534466","ID_370833","ID_3470154","ID_49858","ID_3835454","ID_50461","ID_762773","ID_3216316","ID_1918344","ID_800853","ID_3650442","ID_533124","ID_3369959","ID_3390337","ID_3386264","ID_64552","ID_221775","ID_2332910","ID_1462986","ID_230759","ID_564557","ID_3296859","ID_779968","ID_680130","ID_3437456","ID_3212402","ID_510871","ID_519360","ID_3286999","ID_3388165","ID_2006024","ID_206772","ID_539452","ID_3189063","ID_3143805","ID_2833882","ID_671464","ID_2791085","ID_3076284","ID_2877484","ID_1169650","ID_26176","ID_609609","ID_940311","ID_804860","ID_3447875","ID_3623110","ID_3374878","ID_2354387","ID_3472859","ID_296456","ID_332224","ID_396253","ID_1972298","ID_777366","ID_663834","ID_300063","ID_250476","ID_2329200","ID_1852569","ID_2533043","ID_3346633","ID_716413","ID_816210","ID_3626184","ID_3645840","ID_980951"
"1",NA,NA,3960,2501,5884,1682,2363,NA,4538,439,29703,NA,NA,NA,9350,NA,NA,274,3362,633,1523,2231,96782,2992,3552,937,NA,1421,9058,2372,796,7218,4556,NA,20512,1391,90854,681,859,13368,4146,33827,2938,439,NA,3235,NA,840,628,1261,NA,7128,120,42046,794,2383,NA,931,NA,1002,3246,801,NA,1362,5111,3385,50637,1041,NA,NA,NA,NA,667,3944,625,NA,NA,NA,NA,NA,NA,NA,1619,6963,NA,384,549,340,9693,1153,504,NA,499,NA,1768,NA,NA,12116,1917,NA,3590,NA,NA,NA,145,NA,3337,825,10072,3779,NA,1632,4934,NA,NA,130894,915,NA,NA,1603,1521,809,NA,NA,1015,9039,483,NA,474,2581,NA,3046,383000,890,NA,NA,NA,2361,NA,1847,3083,1535,1486,8995,73019,3864,NA,1216,2118,644,NA,28016,142062,NA,NA,1138
"2",NA,NA,7723,4847,11624,3360,4724,NA,8560,885,61039,NA,NA,NA,18897,NA,NA,548,6517,1234,3038,4583,192475,7434,6611,1778,NA,2801,18262,4807,1577,14435,9280,NA,40186,2820,175169,1464,1749,25940,7873,65669,5812,940,NA,6511,NA,1591,1271,2517,NA,14128,243,82767,1647,4726,35,1732,NA,2029,6381,1606,NA,2710,9982,6799,99033,2015,NA,NA,NA,NA,1294,7634,1286,NA,NA,NA,NA,NA,NA,NA,3297,13486,NA,757,1056,725,19097,2311,1005,NA,1004,NA,3318,NA,NA,22544,3839,NA,7190,NA,NA,NA,287,NA,6467,1600,19696,7856,NA,3111,9742,NA,NA,259797,1779,NA,NA,3205,2996,1611,NA,NA,2129,18219,996,NA,1029,5168,NA,5980,736000,1735,NA,NA,NA,4576,NA,3675,6012,2802,2978,17619,145572,7585,NA,2369,4011,1223,NA,55465,269386,NA,NA,2388
"3",NA,NA,11278,6979,17271,5023,6897,NA,12311,1316,93268,NA,NA,NA,28241,NA,NA,818,9537,1809,4389,6893,289324,12350,9305,2657,NA,4070,27641,7103,2393,22023,13963,NA,59613,4226,253548,2285,2654,37908,11304,94405,8715,1461,NA,9731,98,2350,1945,3804,NA,20755,370,122745,2467,7102,135,2486,NA,3032,9347,2384,NA,3948,14787,10293,145067,2934,NA,NA,NA,NA,1945,11003,1988,NA,NA,NA,NA,NA,NA,NA,4949,19633,NA,1076,1547,1144,28309,3460,1534,NA,1511,NA,4733,NA,NA,32665,5669,NA,10585,NA,NA,NA,424,NA,9499,2319,28501,12244,NA,4553,14246,NA,NA,389602,2643,NA,NA,4733,4432,2366,NA,NA,3331,27220,1564,NA,1625,7765,NA,8778,1077000,2614,NA,NA,NA,6715,NA,5538,8798,4066,4508,25888,219843,11240,NA,3540,5893,1771,NA,81888,381663,NA,NA,3653
"4",NA,NA,14568,8982,22359,6575,8954,NA,15788,1775,127828,NA,NA,NA,37029,NA,NA,1100,12212,2300,5636,9106,383784,16793,11700,3597,NA,5241,37308,9251,3178,29423,18149,NA,76931,5596,324321,3120,3577,48025,14468,119123,11456,1978,NA,12835,209,3032,2589,5051,NA,27252,494,159352,3227,9397,256,3208,NA,4007,11904,3133,NA,5079,19606,13561,189477,3773,NA,NA,NA,NA,2593,14138,2719,NA,NA,NA,NA,NA,NA,NA,6501,24879,NA,1432,1986,1564,37173,4611,2048,NA,2025,NA,5968,NA,NA,41374,7464,NA,13610,NA,NA,NA,554,NA,12152,2986,36221,17145,NA,5819,18526,NA,NA,526106,3406,NA,NA,6136,5753,3089,NA,NA,4633,36173,2099,13,2246,10186,NA,11436,1405000,3484,NA,NA,NA,8647,NA,7421,11702,5261,6012,33948,287056,14666,NA,4710,7593,2313,NA,106175,480128,NA,NA,4852
"5",NA,NA,3174,1913,4903,1559,1915,NA,4706,442,36310,NA,NA,NA,8356,NA,NA,251,2524,431,1176,2051,90011,4185,2124,811,NA,1132,9273,2046,793,7359,3621,NA,16124,1345,72414,639,968,9397,2909,23023,2639,508,NA,3031,184,699,609,1178,NA,5996,116,36266,752,2155,153,694,NA,913,2643,711,NA,1092,4709,3335,42244,825,NA,NA,NA,NA,636,2768,747,NA,NA,NA,NA,NA,NA,NA,1378,4862,NA,342,389,425,8476,1103,447,NA,495,NA,1111,NA,NA,8532,1659,NA,2817,NA,NA,NA,269,NA,2510,615,7103,4772,NA,1211,4173,NA,NA,139444,765,NA,NA,1395,1251,692,NA,NA,1344,8499,518,79,552,2041,NA,2571,318000,842,NA,NA,NA,1731,NA,1797,2900,1182,1516,7555,62512,3099,NA,1096,1571,559,NA,23728,91777,NA,NA,1088
"6",NA,NA,7043,3900,9970,3237,3718,NA,9800,909,72710,NA,NA,NA,16726,NA,148,485,5001,827,2345,3992,180133,8515,4265,1591,NA,2181,19161,4074,1597,15167,7027,NA,33062,2630,144646,1386,1983,18378,5666,45982,5241,1025,NA,6094,577,1326,1219,2357,NA,11856,227,71533,1543,4305,363,1374,NA,1865,5365,1508,NA,2159,9399,6776,82475,1700,30,NA,NA,NA,1280,5528,1565,NA,NA,NA,NA,NA,NA,NA,2760,9620,NA,704,785,933,17502,2197,840,NA,978,NA,2158,NA,NA,17166,3295,NA,5801,NA,NA,NA,643,NA,5056,1208,14691,9784,NA,2340,8450,NA,NA,278753,1552,NA,NA,2762,2548,1401,NA,NA,2788,17578,1074,327,1174,4066,NA,5146,638000,1677,NA,NA,NA,3605,NA,3563,5814,2343,3109,15229,122259,6179,NA,2229,3124,1203,NA,47912,191353,NA,NA,2159
"7",NA,NA,11378,5866,14985,5019,5534,NA,15112,1376,109727,NA,NA,NA,25002,NA,332,715,7690,1204,3502,5832,270149,12433,6208,2346,NA,3270,29253,6007,2410,23535,10269,NA,51629,4017,218471,2186,3056,27045,8402,69439,7782,1548,NA,9126,972,2166,1816,3639,NA,17529,342,107837,2366,6438,611,2053,NA,2781,8122,2383,NA,3328,13986,10354,126406,2576,232,NA,NA,NA,1911,8165,2474,NA,NA,NA,NA,NA,NA,NA,4163,14311,NA,1100,1170,1473,25624,3344,1252,NA,1462,NA,3327,NA,NA,27066,4919,NA,8728,NA,NA,NA,1077,NA,7620,1856,23041,14947,NA,3457,12685,NA,NA,410660,2328,NA,NA,4166,3868,2059,NA,NA,4400,27594,1618,769,1868,6035,NA,7706,954000,2491,NA,NA,NA,5635,NA,5366,8784,3511,4732,22576,183975,9212,NA,3387,4658,1898,NA,72039,281181,NA,NA,3287
"8",NA,NA,15548,7779,19968,6796,7257,NA,20640,1826,146835,NA,NA,NA,33413,NA,671,961,10351,1562,4632,7608,359918,15528,7648,3119,NA,4362,39087,7748,3228,31847,13336,NA,69582,5366,288204,2962,4179,35697,11090,92884,10288,2052,NA,12154,1491,2752,2345,4892,NA,23182,444,143001,3170,8579,887,2738,NA,3688,10841,3314,NA,4509,18446,14121,167316,3423,690,310,NA,NA,2548,10623,3445,NA,NA,NA,NA,NA,NA,NA,5469,18761,NA,1476,1545,2104,33634,4470,1634,NA,1938,NA,4276,NA,NA,35906,6530,NA,11647,NA,NA,NA,1509,NA,10101,2503,30981,20236,NA,4581,17071,NA,NA,551515,3119,NA,NA,5571,5033,2730,NA,69,5955,37890,2149,1301,2583,7964,NA,10169,1270000,3275,NA,NA,NA,7662,NA,7220,11804,4620,6341,29839,244394,12346,NA,4509,6375,2705,NA,96086,363257,NA,NA,4433
"9",NA,NA,3895,1800,4840,1776,1661,NA,4968,444,38225,NA,NA,NA,7874,NA,366,218,2503,283,1008,1722,86158,5085,1659,739,NA,980,9081,1689,791,8415,2840,NA,17450,1318,66166,793,1102,8276,2632,22526,2386,496,NA,2940,518,687,496,1242,NA,5476,98,35279,783,2032,274,670,NA,906,2525,927,NA,1040,4421,3638,41039,830,595,570,NA,NA,624,2256,954,NA,NA,NA,NA,NA,NA,NA,1240,4087,NA,402,329,627,7202,1105,378,NA,402,NA,933,NA,NA,8627,1530,NA,2927,NA,NA,NA,499,NA,2521,651,7214,5319,NA,1105,4427,NA,NA,135473,795,NA,NA,1370,1075,674,NA,80,1572,10440,548,575,778,1863,NA,2419,302000,757,NA,NA,NA,2087,NA,1807,2951,994,1555,6853,57229,2912,NA,1085,1687,789,NA,21855,78633,NA,NA,1060
"10",NA,NA,7573,3615,9628,3628,3335,NA,9883,895,74491,NA,NA,NA,15090,NA,888,421,5203,525,1998,3441,171385,9998,3206,1477,NA,1952,18265,3381,1551,17875,5504,NA,36560,2668,129521,1661,2276,16920,4856,42864,4968,984,NA,5892,1142,1383,922,2503,NA,10894,196,70616,1559,4076,630,1321,NA,1879,5128,1943,NA,2057,8772,7366,84849,1662,1302,1444,NA,NA,1204,4528,2018,NA,NA,NA,NA,NA,NA,NA,2446,7975,NA,843,651,1287,14308,2262,773,NA,809,NA,1928,NA,NA,17768,3079,NA,6018,NA,NA,NA,1153,NA,5050,1299,14142,10836,NA,2067,9412,NA,NA,260603,1628,NA,NA,2708,2154,1341,115,228,3185,21056,1114,1232,1647,3707,NA,4860,608000,1489,NA,NA,NA,4222,NA,3650,6028,1956,3150,13374,114802,5577,NA,2172,3398,1563,NA,44218,157553,NA,NA,2126
"11",NA,NA,11221,5433,14400,5494,4912,NA,14440,1338,111099,NA,NA,NA,22662,NA,1512,635,7905,795,2923,5139,259550,15252,4481,2216,NA,2928,27064,4957,2337,28021,7942,NA,56111,4007,194875,2537,3477,25694,7026,63075,7530,1476,NA,8884,1726,2035,1344,3736,NA,16398,290,106402,2361,6126,1018,1950,NA,2808,7782,3008,NA,3154,12992,11383,130215,2502,2103,2597,NA,NA,1806,6749,3244,NA,NA,NA,NA,NA,NA,NA,3690,11786,NA,1331,966,1934,21561,3435,1127,NA,1523,NA,2924,NA,NA,26815,4654,NA,8967,NA,NA,NA,1848,NA,7777,1905,21506,16114,NA,3070,13962,NA,9,397093,2474,NA,NA,4123,3145,2007,350,425,4865,32176,1709,1980,2554,5527,NA,7329,908000,2187,NA,NA,NA,6616,NA,5554,8986,2872,4743,19719,173437,8192,NA,3281,5040,2335,NA,65615,238762,NA,NA,3209
